school_code,region_code,full_name,address,longitude,latitude,provider,connection_type,contract_down_mbps,contract_up_mbps
VKO-UK-055,UK,"Школа, г. Усть-Каменогорск, Революционная 2/1","г. Усть-Каменогорск, Революционная 2/1",82.582753,49.964448,Провайдер А,fiber,100,100
VKO-UK-056,UK,"Школа, г. Усть-Каменогорск, Қанипа Бітібаева 12/1","г. Усть-Каменогорск, Қанипа Бітібаева 12/1",82.592831,49.965113,Провайдер А,fiber,100,100
VKO-UK-057,UK,"Школа, г. Усть-Каменогорск, Севастопольская 6/2","г. Усть-Каменогорск, Севастопольская 6/2",82.583250,49.963989,Провайдер А,fiber,100,100
VKO-UK-058,UK,"Школа, г. Усть-Каменогорск, Каныша Сатпаева 26/1","г. Усть-Каменогорск, Каныша Сатпаева 26/1",82.620742,49.905058,Провайдер А,fiber,100,100
VKO-UK-059,UK,"Частная школа, г. Усть-Каменогорск, Нурсултана Назарбаева 5/2","г. Усть-Каменогорск, Нурсултана Назарбаева 5/2",82.627857,49.948313,Провайдер А,fiber,100,100
VKO-UK-060,UK,"Частная школа, г. Усть-Каменогорск, Каныша Сатпаева 53","г. Усть-Каменогорск, Каныша Сатпаева 53",82.627012,49.922073,Провайдер А,fiber,100,100
VKO-UK-061,UK,"Частная школа, г. Усть-Каменогорск, Кабанбай батыра 111/1","г. Усть-Каменогорск, Кабанбай батыра 111/1",82.628459,49.952178,Провайдер А,fiber,100,100
VKO-UK-062,UK,"КГУ ""Ахмеровская СШ""","с. Ново-Ахмирово, Военный городок №1 7",82.499669,49.938232,Провайдер А,fiber,50,50
VKO-UK-063,UK,"КГУ ""Ново-Троицкая основная средняя школа""","с. Ново-Троицкое, Школьная 4",82.892777,49.812777,Провайдер Б,radio,10,10
VKO-UK-064,UK,"КГУ ""СШ № 33 имени Абая""","с. Ново-Явленка, Мустафа Шокай 48",82.489211,49.969224,Провайдер А,fiber,50,50
VKO-UK-065,UK,"КГУ ""Общеобразовательная школа №49""","с. Ахмирово, Жанажол 66",82.512287,49.942688,Провайдер А,fiber,50,50
VKO-UK-066,UK,"КГУ ""Меновновская средняя школа""","с. Меновное, Новая 15",82.574722,49.934657,Провайдер А,fiber,50,50
VKO-RID-001,RID,"КГУ ""Многопрофильная школа-гимназия ""Шаңырақ""","г. Риддер, Безголосова 16",83.513045,50.342264,Провайдер А,fiber,100,100
VKO-RID-002,RID,"КГУ ""ОСШ № 9""","г. Риддер, Индустриальная 15",83.540221,50.367958,Провайдер А,fiber,100,100
VKO-RID-003,RID,"КГУ ""Основная средняя школа им. М. Горького""","г. Риддер, Луговая 4",83.376370,50.265919,Провайдер А,fiber,100,100
VKO-RID-004,RID,"КГУ ""СШ № 16""","г. Риддер, Л.Толстого 24А",83.457786,50.325796,Провайдер А,fiber,100,100
VKO-RID-005,RID,"КГУ ""СШ № 17""","г. Риддер, Буровая 3",83.340365,50.259113,Провайдер А,fiber,100,100
VKO-RID-006,RID,"КГУ ""СШ №14""","г. Риддер, Третий 23",83.494463,50.329522,Провайдер А,fiber,100,100
VKO-RID-007,RID,"КГУ ""СШ №2""","г. Риддер, Кунаева 27",83.497781,50.332531,Провайдер А,fiber,100,100
VKO-RID-008,RID,"КГУ ""Специальная школа-интернат №7""","г. Риддер, Ш.Уалиханова 46",83.502124,50.332692,Провайдер А,fiber,100,100
VKO-RID-009,RID,"КГУ ""Средняя школа № 12""","г. Риддер, Курека 45",83.518880,50.340515,Провайдер А,fiber,100,100
VKO-RID-010,RID,"КГУ ""Средняя школа №5""","г. Риддер, В.Клинка 11",83.501865,50.337889,Провайдер А,fiber,100,100
VKO-RID-011,RID,"КГУ ""Сш № 10""","г. Риддер, Тохтарова 17А",83.505621,50.341388,Провайдер А,fiber,100,100
VKO-RID-012,RID,"КГУ ""Школа - лицей №1""","г. Риддер, КИРОВА 90",83.529055,50.345629,Провайдер А,fiber,100,100
VKO-RID-013,RID,"Школа, г. Риддер, Четвертый 27","г. Риддер, Четвертый 27",83.501259,50.324363,Провайдер А,fiber,100,100
VKO-RID-014,RID,"Школа, г. Риддер, Четвертый 28","г. Риддер, Четвертый 28",83.502016,50.325395,Провайдер А,fiber,100,100
VKO-RID-015,RID,"Школа, г. Риддер, Семипалатинская 10","г. Риддер, Семипалатинская 10",83.506329,50.338860,Провайдер А,fiber,100,100
VKO-RID-016,RID,"КГУ ""ОСШ с. Бутаково""","с. Бутаково, Целинная 33/1",83.236505,50.258612,Провайдер Б,radio,10,10
VKO-RID-017,RID,"Школа, с. Лесное, Сосновая 45 А","с. Лесное, Сосновая 45 А",83.254926,50.245447,Провайдер Б,adsl,20,1
VKO-RID-018,RID,"КГУ ""ОСШ с. Поперечное""","с. Поперечное, Новая 1/1",83.821929,50.411786,Провайдер Б,radio,10,10
VKO-ALT-001,ALT,"КГУ ""НШ № 2""","г. Алтай, Рудная 26",84.293722,49.720966,Провайдер А,fiber,100,100
VKO-ALT-002,ALT,"КГУ ""Начальная школа № 1 города Алтай""","г. Алтай, Бурнашова 1",84.277500,49.721111,Провайдер А,fiber,100,100
VKO-ALT-003,ALT,"КГУ ""СШ № 11""","г. Алтай, Брилина 31",84.262201,49.726052,Провайдер А,fiber,100,100
VKO-ALT-004,ALT,"КГУ ""СШ № 6""","г. Алтай, Солнечная 13",84.256505,49.713062,Провайдер А,fiber,100,100
VKO-ALT-005,ALT,"КГУ ""СШ № 8""","г. Алтай, Жаксыбаева 1",84.283902,49.722767,Провайдер А,fiber,100,100
VKO-ALT-006,ALT,"КГУ ""СШ № 9""","г. Алтай, Комарова 8",84.248489,49.712741,Провайдер А,fiber,100,100
VKO-ALT-007,ALT,"КГУ ""Средняя школа № 7 города Алтай""","г. Алтай, Ломоносова 59",84.256190,49.742255,Провайдер А,fiber,100,100
VKO-ALT-008,ALT,"КГУ ""ШЛ города Алтай""","г. Алтай, Спортивная 84",84.280744,49.725441,Провайдер А,fiber,100,100
VKO-ALT-009,ALT,КГУ «Специальная школа-интернат № 1»,"г. Алтай, Бухтарминская 127",84.254508,49.730278,Провайдер А,fiber,100,100
VKO-ALT-010,ALT,"Школа, г. Алтай, Рудная 2","г. Алтай, Рудная 2",84.293244,49.716507,Провайдер А,fiber,100,100
VKO-ALT-011,ALT,"КГУ ""Основная школа №2 города Серебрянска""","г. Серебрянск, Ленина 2",83.305709,49.677804,Провайдер А,fiber,100,100
VKO-ALT-012,ALT,"КГУ ""СШ № 1 им. М.В. Инюшина","г. Серебрянск, Серебрянская 146",83.276968,49.682297,Провайдер А,fiber,100,100
VKO-ALT-013,ALT,"КГУ ""Средняя школа № 4 города Серебрянска""","г. Серебрянск, Некрасова 26",83.289126,49.679957,Провайдер А,fiber,100,100
VKO-ALT-014,ALT,"Школа, г. Серебрянск, Серебрянская 156","г. Серебрянск, Серебрянская 156",83.270533,49.683087,Провайдер А,fiber,100,100
VKO-ALT-015,ALT,"Школа, г. Серебрянск, Почтовая 3","г. Серебрянск, Почтовая 3",83.300719,49.681049,Провайдер А,fiber,100,100
VKO-ALT-016,ALT,"КГУ ""Никольская СШ""","с. Никольск, Школьная 6",83.944408,49.571095,Провайдер Б,radio,10,10
VKO-ALT-017,ALT,"КГУ ""Ново-Бухтарминская СШ №2""","с. Новая Бухтарма, 7 30",83.518554,49.626506,Провайдер А,fiber,50,50
VKO-ALT-018,ALT,"КГУ ""Ново-Бухтарминская средняя школа № 1 акимата района Алтай""","с. Новая Бухтарма, 2 34/2",83.516718,49.630680,Провайдер Б,adsl,20,1
VKO-ALT-019,ALT,"КГУ ""Новокрестьянская НШ""","с. Ново-Крестьянка, Центральная 2/1",84.430229,49.632838,Провайдер Б,radio,10,10
VKO-ALT-020,ALT,"КГУ ""Бородинская средняя школа""","с. Бородино, Садовая 27",84.092722,49.499888,Провайдер Б,radio,10,10
VKO-ALT-021,ALT,"КГУ ""Быковская ОШ""","с. Быково, Школьная 1",84.567229,49.714382,Провайдер Б,radio,10,10
VKO-ALT-022,ALT,"КГУ ""Васильевская начальная школа","с. Васильевка, Верхняя 16/1",83.650178,49.741411,Провайдер Б,radio,10,10
VKO-ALT-023,ALT,"КГУ ""Дородницкая ОШ""","с. Дородница, Школьная 10",83.769271,49.751043,Провайдер Б,radio,10,10
VKO-ALT-024,ALT,"КГУ ""Зубовская СШ""","с. Зубовка, Железнодорожная 46",84.272611,49.786070,Провайдер Б,adsl,20,1
VKO-ALT-025,ALT,"КГУ ""Крестовская начальная школа""","с. Крестовка, Достык 31",84.010446,49.714336,Провайдер Б,radio,10,10
VKO-ALT-026,ALT,"КГУ ""Леснопристанская средняя школа""","с. Малеевск, Бухтарминская 106",84.290372,49.814512,Провайдер Б,adsl,20,1
VKO-ALT-027,ALT,"КГУ ""Маякская средняя школа""","с. Маяк, Школьная 3",84.337199,49.685349,Провайдер Б,radio,10,10
VKO-ALT-028,ALT,"КГУ ""Октябрьская средняя школа","с. Октябрьский, Центральная 4/1",83.588650,49.629184,Провайдер Б,adsl,20,1
VKO-ALT-029,ALT,"КГУ ""СШ имени Михаила Бикетова""","с. Парыгино, Победы 1",84.126931,49.807878,Провайдер Б,adsl,20,1
VKO-ALT-030,ALT,"КГУ ""Подорловская НШ""","с. Подорленок, Солнечная 1а",84.234482,49.632461,Провайдер Б,radio,10,10
VKO-ALT-031,ALT,"КГУ ""Первороссийская СШ""","с. Полянское, Фрунзе 6",83.851388,49.717777,Провайдер Б,adsl,20,1
VKO-ALT-032,ALT,"КГУ ""Путинцевская средняя школа""","с. Путинцево, Матросова 17",84.331181,49.861089,Провайдер Б,radio,10,10
VKO-ALT-033,ALT,"КГУ ""Северная ОШ""","с. Северное, Береговая 6",83.141534,49.817682,Провайдер Б,radio,10,10
VKO-ALT-034,ALT,"КГУ ""НШ имени Михаила Харина""","с. Снегирево, Независимости 18",84.069111,49.748700,Провайдер Б,radio,10,10
VKO-ALT-035,ALT,"КГУ ""Соловьевская СШ""","с. Соловьево, Копылова 18",84.343037,49.623641,Провайдер Б,adsl,20,1
VKO-ALT-036,ALT,"КГУ ""Средигорненская средняя школа""","с. Средигорное, Центральная 42",84.390555,49.513055,Провайдер Б,radio,10,10
VKO-ALT-037,ALT,"КГУ ""Тургусунская средняя школа""","с. Тургусун, Достык 17",84.008652,49.767925,Провайдер Б,adsl,20,1
VKO-ALT-038,ALT,"Школа, с. Феклистовка, Школьная 1А","с. Феклистовка, Школьная 1А",83.085570,49.921338,Провайдер Б,radio,10,10
VKO-ALT-039,ALT,"КГУ ""Чапаевская СШ""","с. Чапаево, Восточная 20",84.057471,49.682922,Провайдер Б,adsl,20,1
VKO-ALT-040,ALT,"КГУ ""Чиркаинская основная школа""","с. Чиркаин, Школьная 6",84.284855,49.431603,Провайдер Б,radio,10,10
VKO-GLU-001,GLU,"КГУ ""Ново-Иртышская средняя школа""","с. Алтайский, Советская 9",82.363027,50.246251,Провайдер Б,adsl,20,1
VKO-GLU-002,GLU,"КГУ ""Белокаменская основная школа""","с. Белокаменка, Шоссейная 2/1",82.582464,50.177565,Провайдер Б,radio,10,10
VKO-GLU-003,GLU,"КГУ ""Белоусовская ОШ""","с. Белоусовка, М.Горького 20А",82.539669,50.135081,Провайдер А,fiber,50,50
VKO-GLU-004,GLU,"КГУ ""Белоусовская СШ №1""","с. Белоусовка, Центральная 61",82.518395,50.123577,Провайдер А,fiber,50,50
VKO-GLU-005,GLU,"КГУ ""Комплекс ""Белоусовская начальная школа-детский сад""","с. Белоусовка, Рабочая 36",82.535052,50.138318,Провайдер А,fiber,50,50
VKO-GLU-006,GLU,"КГУ ""Березовская средняя школа""","с. Березовка, Д.Кунаева 15",82.130184,50.233257,Провайдер Б,adsl,20,1
VKO-GLU-007,GLU,"КГУ ""Средняя школа имени Ахмета Байтурсынулы""","с. Бобровка, Профсоюзная 33",82.718616,50.159131,Провайдер Б,adsl,20,1
VKO-GLU-008,GLU,"КГУ ""Комплекс ""Быструшинская средняя школа - детский сад""","с. Быструха, Новостройка 15",82.712184,50.381917,Провайдер Б,adsl,20,1
VKO-GLU-009,GLU,"КГУ ""Верх-Березовская средняя школа""","с. Верхнеберезовка, Калинина 8",82.225225,50.271963,Провайдер Б,adsl,20,1
VKO-GLU-010,GLU,"КГУ ""Комплекс"" Верх-Берёзовская начальная школа-детский сад""","с. Верхнеберезовка, ШКОЛЬНАЯ 10",82.223660,50.271458,Провайдер Б,radio,10,10
VKO-GLU-011,GLU,"КГУ ""Веселовская СОШ""","с. Веселовка, Гагарина 33",82.334579,50.307780,Провайдер Б,adsl,20,1
VKO-GLU-012,GLU,"КГУ ""Винненская средняя школа""","с. Винное, Ворошилова 15",82.826583,50.057832,Провайдер Б,adsl,20,1
VKO-GLU-013,GLU,"КГУ ""Глубоковская средняя школа имени Ы.Алтынсарина""","с. Глубокое, Поповича 34а",82.317685,50.150216,Провайдер А,fiber,50,50
VKO-GLU-014,GLU,"КГУ ""Казахская СШ имени Оралхана Бокея""","с. Глубокое, 4 1А",82.324189,50.148697,Провайдер А,fiber,50,50
VKO-GLU-015,GLU,"КГУ ""Кожоховская СШ""","с. Кожохово, Школьная 1А",82.298058,50.199091,Провайдер Б,adsl,20,1
VKO-GLU-016,GLU,"КГУ ""Малоубинская средняя школа""","с. Малоубинка, Клиновицкого 1",82.663079,50.452749,Провайдер Б,adsl,20,1
VKO-GLU-017,GLU,"КГУ ""Опытнопольская средняя школа""","с. Опытное поле, Дачная 3",82.547307,50.029944,Провайдер А,fiber,50,50
VKO-GLU-018,GLU,"КГУ ""СШ имени Малика Габдуллина""","с. Перевальное, БЕРЕЗОВСКАЯ 5",82.291025,50.237745,Провайдер Б,adsl,20,1
VKO-GLU-019,GLU,"КГУ ""Средняя школа имени Динмухамеда Кунаева""","с. Прапорщиково, Школьная 30",82.468781,50.046694,Провайдер А,fiber,50,50
VKO-GLU-020,GLU,"КГУ ""Комплекс ""Предгорненская средняя школа-детский сад""","с. Предгорное, Кирова 52",82.225994,50.238998,Провайдер Б,adsl,20,1
VKO-GLU-021,GLU,"КГУ ""Предгорненская средняя школа №1""","с. Предгорное, Предгорное 2 в",82.254488,50.262483,Провайдер Б,adsl,20,1
VKO-GLU-022,GLU,"КГУ ""Прогрессовская средняя школа""","с. Прогресс, Кирова 2",82.392185,50.135477,Провайдер Б,adsl,20,1
VKO-GLU-023,GLU,"КГУ ""Комплекс Секисовская средняя школа-детский сад""","с. Секисовка, НОВОСТРОЕВСКАЯ 1А",82.582856,50.322444,Провайдер Б,adsl,20,1
VKO-GLU-024,GLU,"КГУ ""Комплекс ""Степновская основная школа-детский сад""","с. Степное, Школьная 17",82.684540,49.974716,Провайдер Б,adsl,20,1
VKO-GLU-025,GLU,"КГУ ""Комплекс ""Тарханская средняя школа- детский сад""","с. Тарханка, Степная 62",82.951353,50.126587,Провайдер Б,adsl,20,1
VKO-GLU-026,GLU,"КГУ ""Уваровская средняя школа""","с. Уварово, Ленина 12",82.381204,50.074275,Провайдер Б,adsl,20,1
VKO-GLU-027,GLU,"КГУ ""СШ имени Бауыржана Момышулы""","с. Ушаново, Школьная 1А",82.736753,49.967393,Провайдер Б,adsl,20,1
VKO-GLU-028,GLU,"КГУ ""Черемшанская СШ""","с. Черемшанка, Школьный 2",83.062439,50.277550,Провайдер Б,adsl,20,1
VKO-ZAI-001,ZAI,КГУ «Средняя школа имени М.Ауэзова»,"г. Зайсан, Богенбая 39",84.886851,47.469482,Провайдер А,fiber,100,100
VKO-ZAI-002,ZAI,КГУ «Средняя школа имени М.В.Ломоносова»,"г. Зайсан, Манапова 6",84.871868,47.462841,Провайдер А,fiber,100,100
VKO-ZAI-003,ZAI,КГУ «Средняя школа имени Ю.Гагарина»,"г. Зайсан, БОКАЖАНОВА 64",84.893033,47.464428,Провайдер А,fiber,100,100
VKO-ZAI-004,ZAI,КГУ «Школа-интернат имени М.Дауленова»,"г. Зайсан, Шанина 2",84.863243,47.475469,Провайдер А,fiber,100,100
VKO-ZAI-005,ZAI,КГУ «Школа-лицей имени Х.Мустафиной»,"г. Зайсан, А.Жангельдина 52А",84.875872,47.467848,Провайдер А,fiber,100,100
VKO-ZAI-006,ZAI,КГУ «Айнабулакская средняя школа»,"с. Айнабулак, ФАТИМЫ БАРИЕВОЙ 4",84.992541,47.505026,Провайдер А,fiber,50,50
VKO-ZAI-007,ZAI,КГУ «Малокомплектная основная средняя школа имени М.Маметовой»,"с. Бакасу, 1-УСЛОВНЫЙ 2",84.837691,47.551972,Провайдер В,satellite,10,2
VKO-ZAI-008,ZAI,КГУ «Средняя школа имени Амангельды»,"с. Биржан, АМАНКЕЛДИ 23",84.941073,47.718361,Провайдер Б,adsl,20,1
VKO-ZAI-009,ZAI,КГУ «Средняя школа имени Мукарама»,"с. Дайыр, Ж.Бітімбаев 18",84.987806,47.625544,Провайдер Б,adsl,20,1
VKO-ZAI-010,ZAI,КГУ «Средняя школа Шекарашы»,"с. Жалшы, Зейноллы Бутабайулы 57",84.470800,47.155469,Провайдер В,satellite,10,2
VKO-ZAI-011,ZAI,КГУ «Основная средняя школа имени Жамбыла»,"с. Жамбыл, 2-Условный 3",85.016555,47.580778,Провайдер В,satellite,10,2
VKO-ZAI-012,ZAI,КГУ «Малокомплектная основная средняя школа Жанатурмыс»,"с. Жанатурмыс, 1-УСЛОВНЫЙ 8",84.869355,47.371014,Провайдер В,satellite,10,2
VKO-ZAI-013,ZAI,КГУ «Средняя школа Жарсу»,"с. Жарсу, Какетая Кымызбаева 16",84.777747,47.551509,Провайдер Б,adsl,20,1
VKO-ZAI-014,ZAI,"КГУ ""Аккайнарская средняя школа""","с. Кайнар, САУЫРБАЕВА 4",84.958448,47.544518,Провайдер В,satellite,10,2
VKO-ZAI-015,ZAI,"КГУ ""Средняя школа имени Абая""","с. Карабулак, АБАЯ КУНАНБАЙУЛЫ 9",84.683018,47.551353,Провайдер А,fiber,50,50
VKO-ZAI-016,ZAI,"КГУ ""Малокомплектная начальная школа Карасай""","с. Карасай, Карасая 11",84.747174,47.088526,Провайдер В,satellite,10,2
VKO-ZAI-017,ZAI,КГУ «Каратальская средняя школа»,"с. Каратал, Абдираша Кебаева 80",85.171888,47.613230,Провайдер А,fiber,50,50
VKO-ZAI-018,ZAI,КГУ «Кенсайская средняя школа»,"с. Кенсай, НУГЫМАНОВА 1",84.774041,47.478348,Провайдер Б,adsl,20,1
VKO-ZAI-019,ZAI,КГУ «Средняя школа Когедай»,"с. Когедай, 4-Условный 1",85.073927,47.579807,Провайдер Б,adsl,20,1
